"GSE","Platform","Organism","nSamples","hasTreatmentField","nControl","nAgents","Agents","hasCellLine","hasGenotype","usable","Title"
"GSE153264","GPL18573","Homo sapiens",12,TRUE,4,1,"dTAG-47",TRUE,FALSE,TRUE,"Definition of a Small Core Transcriptional Circuit Regulated by AML1-ETO [RNA-seq]"
"GSE153853","GPL24676","Homo sapiens",4,FALSE,0,0,"",TRUE,FALSE,FALSE,"Effect of cabozantinib on transcriptome and signaling pathways in leukemic cell line Kasum"
"GSE153854","GPL24676","Homo sapiens",3,FALSE,0,0,"",TRUE,FALSE,FALSE,"Effect of pyrvinium pamoate on transcriptome and signaling pathways in FLT3-ITD acute leuk"
"GSE154570","GPL18573","Homo sapiens",40,TRUE,6,1,"PDS",TRUE,TRUE,TRUE,"Control of cellular translation by endogenous RNA G-quadruplex structures"
"GSE155559","GPL18573","Homo sapiens",8,TRUE,4,1,"Tamibarotene",TRUE,FALSE,TRUE,"Global RNA-sequencing of a pediatric AML primary sample treated with Tamibarotene or vehic"
"GSE155592","GPL18573","Homo sapiens",38,TRUE,4,1,"Tamibarotene",TRUE,FALSE,TRUE,"Defining the Transcriptional Control of Pediatric AML Highlights RARA as a Super-Enhancer "
"GSE155640","GPL23159","Homo sapiens",42,TRUE,18,2,"LSD1 OG86; NTR LSD1",TRUE,FALSE,TRUE,"Expression data from THP1-wt and THP1-NTR+ cells with LSD1 inhibitor (OG86), Nitroreductas"
"GSE156182","GPL23159","Homo sapiens",24,FALSE,0,0,"",TRUE,FALSE,FALSE,"Pharmacological inhibition of WIP1 sensitizes acute myeloid leukemia cells to MDM2 inhibit"
"GSE156947","GPL24247","Mus musculus",4,TRUE,2,1,"WM-1119",TRUE,FALSE,TRUE,"Transcriptional profiling of cells following WM-1119 treatment"
"GSE157298","GPL18573","Homo sapiens",49,TRUE,18,3,"SR1; UM171; UM171 and Dexamethasone",TRUE,FALSE,TRUE,"A novel CULLIN3-KBTBD4 ligase complex controls the epigenetic marks that mediate human hem"
"GSE157633","GPL18573","Homo sapiens",10,TRUE,5,1,"Four hour post dTAG-47",TRUE,FALSE,TRUE,"Gene expression change after targeted degradation of ZMYND8 or IRF8"
"GSE157634","GPL18573","Homo sapiens",5,FALSE,0,0,"",FALSE,FALSE,FALSE,"Gene expression in primary AML patients"
"GSE157636","GPL18573","Homo sapiens",105,TRUE,37,4,"/; Four hour dTAG-47; Four hour JQ1; Four hour post dTAG-47",TRUE,FALSE,TRUE,"ZMYND8 is potential selective therapeutic target for modulating the IRF8/MYC transcription"
"GSE158103","GPL23159","Homo sapiens",18,TRUE,6,2,"HDM201; RG7112",TRUE,TRUE,TRUE,"Targeting MDM2-induced p53 upregulation to enhance anti-leukemia immunity post allogeneic "
"GSE158296","GPL21697","Homo sapiens",12,TRUE,2,5,"BI_9321; MS9715; MS9715N; sgEV; sgNSD3",TRUE,FALSE,TRUE,"An NSD3-targeting PROTAC (Proteolysis Targeting Chimeric) suppresses the NSD3 and cMyc onc"
"GSE158738","GPL16791","Homo sapiens",6,TRUE,3,1,"C646",TRUE,FALSE,TRUE,"Inhibition of CBP synergizes with the RNA-dependent mechanisms of azacitidine by limiting "
"GSE160531","GPL18573","Homo sapiens",24,TRUE,3,6,"G9a shRNA #2; G9a shRNA #3; Scrambled shRNA; SUV39H1 shRNA #2; SUV39H1 shRNA #4; UNC0638",TRUE,FALSE,TRUE,"H3K9 dimethylation safeguards cancer cells against activation of the Interferon pathway [R"
"GSE161397","GPL20301","Homo sapiens",20,TRUE,5,3,"AR-42; Combination; KPT-9274",TRUE,FALSE,TRUE,"HDAC8i/NAMPTi combination on the transcriptomes of leukemia initiating cells of AML patien"
"GSE162592","GPL18573","Homo sapiens",9,TRUE,3,2,"1 microM SR-0813; 10 microM SR-0813",TRUE,FALSE,TRUE,"Chemical inhibition of ENL/AF9 YEATS domains in acute leukemia [RNA-Seq]"
"GSE162593","GPL18573","Homo sapiens",13,TRUE,5,2,"1 microM SR-0813; 10 microM SR-0813",TRUE,FALSE,TRUE,"Chemical inhibition of ENL/AF9 YEATS domains in acute leukemia"
"GSE163305","GPL18573","Homo sapiens",6,TRUE,3,1,"GSK591",TRUE,FALSE,TRUE,"Transcriptomic Profile of OCI-AML-20 Cell Line in response to PRMT5 inhibition"
"GSE163802","GPL18573","Homo sapiens",32,TRUE,7,4,"CDK9i; CDK9i + DBK-1154 10µM 15 minutes; DBK-1154 10µM 15 minutes; LPS 1µg/mL",TRUE,TRUE,TRUE,"A PP2A-Integrator complex fine-tunes transcription by opposing CDK9 [3UTR-seq]"
"GSE163803","GPL18573","Homo sapiens",12,TRUE,4,1,"CDK9i , 500µM 4-thiouridine final 30 minutes",TRUE,TRUE,TRUE,"A PP2A-Integrator complex fine-tunes transcription by opposing CDK9 [4sU-seq]"
"GSE163805","GPL18573","Homo sapiens",70,TRUE,22,5,"CDK9i; CDK9i , 500µM 4-thiouridine final 30 minutes; CDK9i + DBK-1154 10µM 15 minutes; DBK-1154 10µM 15 minutes; LPS 1µg/mL",TRUE,TRUE,TRUE,"A PP2A-Integrator complex fine-tunes transcription by opposing CDK9"
"GSE164437","GPL24676","Homo sapiens",15,TRUE,3,4,"3microM 3-7 compound; 5microM 3-7 compound; 5microM 3-7 compound + 5microM olaparib; 5microM olaparib",TRUE,FALSE,TRUE,"RNA Sequencing Analysis of control vs KDM4Ai treated cells as a monotherapy or in combinat"
"GSE164559","GPL9115","Homo sapiens",10,TRUE,2,2,"LSD1 MC2580; transduction",TRUE,FALSE,TRUE,"LSD1 inhibitors trigger myeloid differentiation by targeting the LSD1-GSE1 interaction on "
"GSE165736","GPL16791","Homo sapiens",6,FALSE,0,0,"",TRUE,FALSE,FALSE,"Valine tRNA biogenesis and bioavailability regulates mitochondrial complex I levels in acu"
"GSE166591","GPL24676","Homo sapiens",24,TRUE,12,1,"GEX1A,",TRUE,FALSE,TRUE,"Molecular mechanisms by which splice modulator GEX1A inhibits leukemia development and pro"
"GSE167005","GPL20301","Homo sapiens",16,TRUE,4,5,"EVI1 shRNA #2531; EVI1 shRNA #2532; non-targeting shRNA; olaparib; talazoparib",TRUE,FALSE,TRUE,"Identification of therapeutic targets of the hijacked super-enhancer complex in EVI1-rearr"
"GSE167163","GPL16791","Homo sapiens",38,FALSE,0,0,"",TRUE,TRUE,FALSE,"Acute resistance to BET inhibitors remodels compensatory transcriptional programmes via p3"
"GSE168462","GPL18573","Homo sapiens",61,TRUE,14,8,"50mpk lenalidomide; CC220; CC220 and VTP50469 combo; lenalidomide; lenalidomide and VTP50469 combo; VTP50469",TRUE,FALSE,TRUE,"IKAROS and MENIN are Functionally Cooperative Therapeutic Targets in Acute Myeloid Leukemi"
"GSE168463","GPL18573","Homo sapiens",87,TRUE,18,8,"50mpk lenalidomide; CC220; CC220 and VTP50469 combo; lenalidomide; lenalidomide and VTP50469 combo; VTP50469",TRUE,FALSE,TRUE,"IKAROS and MENIN are Functionally Cooperative Therapeutic Targets in Acute Myeloid Leukemi"
"GSE168648","GPL20301","Homo sapiens",2,TRUE,2,0,"",TRUE,FALSE,FALSE,"Unleashing cell-intrinsic inflammation as a strategy to kill AML blasts [RNA-seq]"
"GSE168649","GPL20301","Homo sapiens",2,TRUE,2,0,"",TRUE,FALSE,FALSE,"Unleashing cell-intrinsic inflammation as a strategy to kill AML blasts"
"GSE168780","GPL16686","Homo sapiens",15,FALSE,0,0,"",TRUE,FALSE,FALSE,"Gene expression data for BET inhibitors"
"GSE172189","GPL24676","Homo sapiens",16,TRUE,4,4,"AraC-; MK2206-; STL-; Venet-",TRUE,FALSE,TRUE,"FOXM1-AKT positive regulation loop provides venetoclax resistance in AML"
"GSE172333","GPL13112","Mus musculus",20,TRUE,0,2,"Brequinar; N/",FALSE,FALSE,FALSE,"A myeloid maturation program initiated by nucleotide depletion during S phase [RNA-Seq]"
"GSE172335","GPL13112","Mus musculus",20,TRUE,0,2,"Brequinar; N/",FALSE,FALSE,FALSE,"Nucleotide depletion promotes cell fate transitions by inducing DNA replication stress"
"GSE173531","GPL24676","Homo sapiens",10,TRUE,2,1,"TFMB-2HG",TRUE,FALSE,TRUE,"Lysine acetylation restricts mutant IDH2 activity to optimize transformation in AML cells"
"GSE173995","GPL18573","Homo sapiens",25,TRUE,7,1,"IOX1",TRUE,FALSE,TRUE,"Efficient Elimination of Acute Myeloid Leukaemia Cells through Inhibition of KDM4A"
"GSE175507","GPL20301","Homo sapiens",36,TRUE,9,3,"all-trans retinoic acid; all-trans retinoic acid + trichostatin; trichostatin",TRUE,FALSE,TRUE,"Acute myeloid leukemia cell line RNA-Seq"
"GSE175596","GPL18573","Homo sapiens",15,TRUE,6,1,"0.1percent VTP50469 chow",TRUE,FALSE,TRUE,"The MLL-Menin interaction is a molecular dependency in NUP98-rearranged AML [RNA-Seq]"
"GSE175597","GPL18573","Homo sapiens",15,TRUE,6,1,"0.1percent VTP50469 chow",TRUE,FALSE,TRUE,"The MLL-Menin interaction is a molecular dependency in NUP98-rearranged AML"
"GSE176523","GPL18573","Homo sapiens",32,TRUE,16,1,"imetelstat",TRUE,FALSE,TRUE,"Imetelstat is effective in Acute Myeloid Leukemia (AML) patient xenografts."
"GSE176524","GPL18573","Homo sapiens",62,TRUE,16,2,"imetelstat; no",TRUE,FALSE,TRUE,"Acute Myeloid Leukemia (AML) patient xenografts"
"GSE176559","GPL24676","Homo sapiens",9,TRUE,9,0,"",TRUE,FALSE,FALSE,"Global gene expression of pediatric acute myeloid leukemia"
"GSE178787","GPL21697","Homo sapiens",33,TRUE,0,5,"DMOS; OXS000275; OXS007417; OXS007464; PMA",TRUE,FALSE,FALSE,"A novel tubulin binding molecule drives differentiation of acute myeloid leukaemia cells"
"GSE178940","GPL18573","Homo sapiens",6,TRUE,3,1,"WFA",TRUE,FALSE,TRUE,"Gene expression changes in THP1 AML cells following Withaferin A exposure"
"GSE179826","GPL9185","Mus musculus",21,TRUE,3,7,"EV; JQEZ5; Kdm5b_H499A; Kdm5b_WT; shEV; shKdm5b",TRUE,FALSE,TRUE,"A PRC2-KDM5B-stemness regulatory axis sustains tumorigenicity of acute myeloid leukemia"
"GSE180180","GPL20301","Homo sapiens",23,FALSE,0,0,"",TRUE,FALSE,FALSE,"Gilteritinib-induced upregulation of S100A9 is mediated through BCL6 in Acute Myeloid Leuk"
"GSE180181","GPL20301","Homo sapiens",24,FALSE,0,0,"",TRUE,FALSE,FALSE,"Gilteritinib-induced upregulation of S100A9 is mediated through BCL6 in Acute Myeloid Leuk"
"GSE181003","GPL24676","Homo sapiens",12,TRUE,6,1,"Selinexor",FALSE,FALSE,TRUE,"Gene expression profiling of AML cell lines treated with nuclear export inhibitor, selinex"
"GSE181176","GPL18573","Homo sapiens",10,TRUE,4,3,"Selinexor; Selinexor continous; Selinexor short",TRUE,FALSE,TRUE,"Prolonged XPO1 inhibition is essential to achieve optimal antileukemic activity in NPM1-mu"
"GSE181519","GPL20795","Homo sapiens",16,TRUE,2,1,"UF146",TRUE,FALSE,TRUE,"Targeting UHRF1-SAP30-MXD4 axis for leukemia initiating cell eradication in myeloid leukem"
"GSE181586","GPL18573","Homo sapiens",12,TRUE,3,3,"AC220; crenolanib; gilteritinib",TRUE,TRUE,TRUE,"GATM-Mediated Creatine Biosynthesis Enables Maintenance of FLT3-ITD-Mutant Acute Myeloid L"
"GSE182018","GPL20301","Homo sapiens",14,TRUE,10,1,"HHT,",FALSE,FALSE,TRUE,"Effective therapy of AML with RUNX1 mutation by co-treatment with inhibitors of protein tr"
"GSE182020","GPL20301","Homo sapiens",2,TRUE,1,0,"",FALSE,FALSE,FALSE,"Effective therapy of AML with RUNX1 mutation by co-treatment with inhibitors of protein tr"
"GSE182023","GPL20301","Homo sapiens",36,TRUE,21,1,"HHT,",FALSE,FALSE,TRUE,"Effective therapy of AML with RUNX1 mutation by co-treatment with inhibitors of protein tr"
"GSE182150","GPL16791","Homo sapiens",4,TRUE,1,0,"",TRUE,FALSE,FALSE,"PU.1 and MYC transcriptional network defines a synergist drug response to combined KIT and"
"GSE182401","GPL24676","Homo sapiens",7,TRUE,2,1,"increasing dose AMG-176 8 weeks",TRUE,FALSE,TRUE,"Mitophagy promotes resistance to BH3 mimetics in acute myeloid leukemia"
"GSE183036","GPL16791","Homo sapiens",8,TRUE,4,1,"STAT3i",TRUE,FALSE,TRUE,"The STAT3-MYC Axis Promotes Survival of Leukemia Stem Cells by Regulating SLC1A5 and Oxida"
"GSE184850","GPL24676","Homo sapiens",8,TRUE,2,3,"0.5 microM ruxolitinib; 0.5 microM ruxolitinib + 1 microM pevonedistat; 1 microM pevonedistat",TRUE,FALSE,TRUE,"Pevonedistat targets malignant cells in myeloproliferative neoplasms in vitro and in vivo "
"GSE184889","GPL16791","Homo sapiens",6,TRUE,3,1,"UC64",FALSE,FALSE,TRUE,"RNA sequencing MOLM-13 cells treated with the UBE2N inhibitor UC-764864 or DMSO control"
"GSE185091","GPL18573","Homo sapiens",8,TRUE,4,1,"TDI-055",TRUE,FALSE,TRUE,"Small-molecule inhibition of the acyl-lysine reader ENL as a strategy against acute myeloi"
"GSE185094","GPL18573","Homo sapiens",31,TRUE,14,2,"input; TDI-055",TRUE,FALSE,TRUE,"Small-molecule inhibition of the acyl-lysine reader ENL as a strategy against acute myeloi"
"GSE185299","GPL16791","Homo sapiens",4,TRUE,2,1,"MV411 parental cells CUT129",TRUE,TRUE,TRUE,"Gene expression profile of  human leukemic cell line treated with TLR1/2 agonist."
"GSE185519","GPL20301","Homo sapiens",24,TRUE,12,1,"gilteritinib",TRUE,TRUE,TRUE,"shCDK9 or shDHODH sensitizes cells to gilteritinib treatment by altering transcriptomes of"
"GSE186132","GPL18573","Homo sapiens",44,TRUE,9,1,"dTAG",TRUE,FALSE,TRUE,"Dissection of the MEF2D-IRF8 transcriptional circuit dependency in acute myeloid leukemia"
"GSE186709","GPL20301","Homo sapiens",24,TRUE,12,2,"MI-503; VTP50469",TRUE,TRUE,TRUE,"A molecular switch between mammalian MLL complexes dictates response to Menin-MLL inhibiti"
"GSE186711","GPL19057","Mus musculus",30,FALSE,0,0,"",TRUE,TRUE,FALSE,"A molecular switch between mammalian MLL complexes dictates response to Menin-MLL inhibiti"
"GSE187285","GPL16686","Homo sapiens",21,FALSE,0,0,"",FALSE,FALSE,FALSE,"Gene expression profiling upon treatment with NTX-301 in MV4-11"
"GSE187293","GPL16686","Homo sapiens",21,FALSE,0,0,"",FALSE,FALSE,FALSE,"Gene expression profiling and DNA methylation profiling"
"GSE188392","GPL11154","Homo sapiens",18,FALSE,0,0,"",TRUE,FALSE,FALSE,"Gene expression profiling upon treatment with NTX-301"
"GSE189773","GPL18573","Homo sapiens",34,TRUE,2,1,"-366",TRUE,FALSE,TRUE,"Inhibition of the CtBP complex and FBXO11 enhances MHC class II expression and anti-cancer"
"GSE189893","GPL18573","Homo sapiens",23,FALSE,0,0,"",TRUE,FALSE,FALSE,"SETD1A regulates transcriptional pause release of heme biosynthesis genes in leukemia [RNA"
"GSE190341","GPL16791","Homo sapiens",8,TRUE,2,3,"ATRA; ATRA+VbP; VbP",TRUE,TRUE,TRUE,"Activation of CASP1 induces AML cell pyroptosis and sensitizes to ATRA treatment"
"GSE190517","GPL24676","Homo sapiens",20,TRUE,6,6,"1 µM BCI; 10 µM BI-D1870; 10 µM BI-D1870 + 1 µM BCI; Fedratinib-persistent; parental; Ruxolitinib-persistent",TRUE,FALSE,TRUE,"DUSP6 mediates resistance to JAK2 inhibition and drives leukemic progression (RNA-Seq)"
"GSE190722","GPL24676","Homo sapiens",22,TRUE,6,3,"BRM014; DB2313; PMA",TRUE,FALSE,TRUE,"Transcriptional effects of SWI/SNF inhibition in acute myeloid leukemia cells [RNA-seq]"
"GSE190723","GPL18573","Homo sapiens",46,TRUE,16,5,"BRM014; DB2313; double cross-linking; PMA; single cross-linking",TRUE,FALSE,TRUE,"SWI/SNF-dependent regulation of chromatin and transcription in AML"
"GSE190785","GPL18573","Homo sapiens",147,TRUE,37,3,"GSK2879552; quizartinib; quizartinib + GSK2879552",TRUE,FALSE,TRUE,"Dual Targeting of FLT3 and LSD1 Disrupts the MYC Super Enhancer Complex in Acute Myeloid L"
"GSE192562","GPL18573","Homo sapiens",29,TRUE,5,3,"Pol II guide 1; Pol II guide 2; RBBP5 KO -",TRUE,FALSE,TRUE,"CRISPR-ChIP to identify mechanisms of chromatin regulation"
"GSE192775","GPL18573","Homo sapiens",25,TRUE,12,1,"1ug/ml Doxycycline",TRUE,TRUE,TRUE,"The SWI/SNF subunit Dpf2 licenses Nrf2-dependent gene expression to enforce multilineage c"
"GSE192779","GPL18573","Homo sapiens",29,TRUE,12,1,"1ug/ml Doxycycline",TRUE,TRUE,TRUE,"The SWI/SNF subunit Dpf2 licenses Nrf2-dependent gene expression to enforce multilineage c"
"GSE192975","GPL18573","Homo sapiens",20,FALSE,0,0,"",TRUE,FALSE,FALSE,"HMG20B stabilizes interaction of LSD1 with GFI1 on chromatin to confer transcription repre"
"GSE193721","GPL16791","Homo sapiens",8,TRUE,0,2,"dG; PBS",FALSE,FALSE,FALSE,"Disruption of dNTPs Homeostasis by Ribonucleotide Reductase Hyperactivation Overcomes AML "
"GSE193832","GPL16791","Homo sapiens",16,TRUE,8,1,"NEL",FALSE,FALSE,TRUE,"Disruption of dNTPs Homeostasis by Ribonucleotide Reductase Hyperactivation Overcomes AML "
"GSE196477","GPL18573","Homo sapiens",24,TRUE,18,2,"dTAG13; selinexor",TRUE,FALSE,TRUE,"Mutant NPM1 binds chromatin and directly regulates oncogenic transcription in acute myeloi"
"GSE196480","GPL18573","Homo sapiens",178,TRUE,104,4,"dTAG13; selinexor; Selinexor; VTP50469",TRUE,FALSE,TRUE,"Mutant NPM1 binds chromatin and directly regulates oncogenic transcription in acute myeloi"
"GSE196693","GPL24676","Homo sapiens",4,TRUE,2,1,"dBET1",TRUE,FALSE,TRUE,"Exploring the cytotoxic effects of dBET1 on multiple molecular   subtypes of Acute myeloid"
"GSE197062","GPL16791","Homo sapiens",4,TRUE,2,1,"MYCMI-7",TRUE,FALSE,TRUE,"MYCMI-7 - a small MYC-binding compound that inhibits MYC:MAX interaction and tumor growth "
"GSE197164","GPL18573","Homo sapiens",20,TRUE,10,1,"ATRA",TRUE,TRUE,TRUE,"Hexokinase 3 enhances myeloid cell survival via non-glycolytic functions"
"GSE197365","GPL21290","Homo sapiens",6,TRUE,2,0,"",FALSE,FALSE,FALSE,"NPM1c hijacks the active trancription in leukemia development [BRU-Seq]"
"GSE197377","GPL19057","Mus musculus",5,TRUE,0,1,"NA",FALSE,FALSE,FALSE,"NPM1c hijacks the active trancription in leukemia development [RNA-Seq]"
"GSE197387","GPL19057","Mus musculus",5,TRUE,0,1,"NA",FALSE,FALSE,FALSE,"NPM1c hijacks the active trancription in leukemia development ["
"GSE197405","GPL13497","Homo sapiens",4,FALSE,0,0,"",TRUE,FALSE,FALSE,"Activating STING1-dependent immune signaling in TP53 mutant and wild-type acute myeloid le"
"GSE197417","GPL18573","Homo sapiens",32,FALSE,0,0,"",FALSE,FALSE,FALSE,"Integrated Multiomic Profiling Identifies the Epigenetic Regulator PRC2 as a Therapeutic T"
"GSE197419","GPL18573","Homo sapiens",72,FALSE,0,0,"",FALSE,FALSE,FALSE,"Integrated Multiomic Profiling Identifies the Epigenetic Regulator PRC2 as a Therapeutic T"
"GSE198517","GPL21626","Mus musculus",16,TRUE,8,1,"1µM BRM014,",TRUE,TRUE,TRUE,"Inhibition of SWI/SNF broadly disrupts enhancers and reveals remodeler redundancy at promo"
"GSE198518","GPL24676","Homo sapiens",46,TRUE,15,3,"E-7107; H3B-8800; Predose",TRUE,FALSE,TRUE,"Splicing modulators impair DNA damage response and induce killing of cohesin-mutant MDS/AM"
"GSE19853","GPL4133","Homo sapiens",40,FALSE,0,0,"",TRUE,FALSE,FALSE,"Gene expression profile of fresh human acute myeloid leukemia cells exposed ex vivo to AS6"
"GSE198982","GPL16791","Homo sapiens",12,TRUE,3,3,"DNR; ML-792; ML-792- DNR",TRUE,FALSE,TRUE,"SUMOylation controls Daunorubicin-regulated gene expression in the Acute Myeloid Leukemia "
"GSE198986","GPL11154","Homo sapiens",6,TRUE,2,2,"AraC; DNR",TRUE,FALSE,TRUE,"SUMO controls the rapid transcriptional reprogramming induced by chemotherapies in Acute M"
"GSE199159","GPL11154","Homo sapiens",24,TRUE,9,3,"SM09419; SM09419 + Venetoclax; Venetoclax",TRUE,FALSE,TRUE,"Modulation of RNA splicing enhances response to BCL2 inhibition in leukemia [RNA-seq]"
"GSE199204","GPL24676","Homo sapiens",24,TRUE,3,6,"CWI1-2; IGF2BP2-sh1; IGF2BP2-sh2; IGF2BP2-sh3; shNS; shYTHDF2",TRUE,FALSE,TRUE,"The m6A Reader IGF2BP2 Regulates Glutamine Metabolism and Represents a Therapeutic Target "
"GSE199336","GPL11154","Homo sapiens",180,TRUE,16,2,"Fedratinib; Selinexor",TRUE,FALSE,TRUE,"A cellular hierarchy framework for understanding heterogeneity and predicting drug respons"
"GSE199454","GPL11154","Homo sapiens",6,TRUE,3,1,"Selinexor",TRUE,FALSE,TRUE,"RNA sequencing of patient-derived AML xenografts treated with Selinexor (KPT-330)"
"GSE199455","GPL11154","Homo sapiens",15,FALSE,0,0,"",TRUE,FALSE,FALSE,"RNA sequencing of primary AML samples prior to in vivo treatment with Fedratinib"
"GSE199456","GPL11154","Homo sapiens",26,TRUE,13,1,"Fedratinib",TRUE,FALSE,TRUE,"RNA sequencing of patient-derived AML xenografts treated with Fedratinib"
"GSE200099","GPL20301","Homo sapiens",12,TRUE,6,1,"honokiol",TRUE,TRUE,TRUE,"Expression Data from DMSO or honokiol treated THP-1 and U-937 cells"
"GSE200510","GPL24676","Homo sapiens",4,FALSE,0,0,"",FALSE,TRUE,FALSE,"Decitabine induces the expression of genes in THP-1 cells"
"GSE202222","GPL24676","Homo sapiens",12,TRUE,6,1,"Quizartinib",TRUE,TRUE,TRUE,"RNA profiles of primary AML cells engrafted in xenograft mouse model"
"GSE202227","GPL24676","Homo sapiens",42,TRUE,12,3,"AC220; AC220+ Everolimus; Everolimus",TRUE,TRUE,TRUE,"RNA profiles of polysomes from MOLM-13 cells treated with FLT3 inhibitor and/or mTOR inhib"
"GSE202229","GPL24676","Homo sapiens",12,TRUE,6,1,"AC220",TRUE,TRUE,TRUE,"RNA profiles of MOLM-13 cells treated with FLT3 inhibitor in the presence of conditioned m"
"GSE202230","GPL24676","Homo sapiens",66,TRUE,24,4,"AC220; AC220+ Everolimus; Everolimus; Quizartinib",TRUE,TRUE,TRUE,"Investigation of bone marrow mediated therapeutic resistance to FLT3 inhibition in acute m"
"GSE205605","GPL16791","Homo sapiens",4,TRUE,2,0,"",TRUE,TRUE,FALSE,"BET bromodomain inhibition rescues PD-1-mediated T cell exhaustion in acute myeloid leukem"
"GSE205802","GPL21697","Homo sapiens",12,TRUE,6,1,"WM-1119",TRUE,TRUE,TRUE,"Targeting cell cycle and apoptosis to overcome chemoresistance in AML"
"GSE206742","GPL24676","Homo sapiens",16,TRUE,8,1,"PMA",TRUE,TRUE,TRUE,"Effect of depletion of UHRF1, DNMT1, DNMT3B during differentiation"
"GSE207353","GPL18573","Homo sapiens",16,TRUE,4,2,"CCS1477; CCS1477_100nM",TRUE,FALSE,TRUE,"Activity of EP300/CBP bromodomain inhibitor CCS1477 across diverse hematologic malignancie"
"GSE207357","GPL18573","Homo sapiens",83,TRUE,6,2,"CCS1477; CCS1477_100nM",TRUE,FALSE,TRUE,"Activity of EP300/CBP bromodomain inhibitor CCS1477 across diverse hematologic malignancie"
"GSE207798","GPL18573","Homo sapiens",12,TRUE,6,1,"Shikonin",TRUE,TRUE,TRUE,"Chemogenomic screening of acute myeloid leukemia samples"
"GSE207830","GPL21697","Homo sapiens",24,TRUE,0,1,"15 min 4sU",TRUE,FALSE,FALSE,"Perturbed epigenetic transcriptional regulation in AML with IDH mutations causes increased"
"GSE209772","GPL30173","Homo sapiens",60,TRUE,27,3,"Decitabine; Decitabine + SB939; SB939",TRUE,TRUE,TRUE,"DNMT and HDAC inhibition induces immunogenic neoantigens from human endogenous retroviral "
"GSE209777","GPL30173","Homo sapiens",64,TRUE,29,3,"Decitabine; Decitabine + SB939; SB939",TRUE,TRUE,TRUE,"DNMT and HDAC inhibition induces immunogenic neoantigens from human endogenous retroviral "
"GSE211052","GPL24676","Homo sapiens",21,TRUE,12,1,"-485",TRUE,FALSE,TRUE,"Metabolic adaptations underpin resistance to histone acetyltransferase inhibition [QUANTse"
"GSE211054","GPL18573","Homo sapiens",15,TRUE,7,1,"-485",TRUE,FALSE,TRUE,"Metabolic adaptations underpin resistance to histone acetyltransferase inhibition"
"GSE211619","GPL24676","Homo sapiens",36,TRUE,3,8,"CWI1-2; IGF2BP2-sh1; IGF2BP2-sh2; IGF2BP2-sh3; shBP2-1; shBP2-2",TRUE,FALSE,TRUE,"The m6A Reader IGF2BP2 Regulates Glutamine Metabolism and Represents a Therapeutic Target "
"GSE212231","GPL24676","Homo sapiens",18,TRUE,9,1,"SHP099",TRUE,TRUE,TRUE,"Genome-wide CRISPR/Cas9 Screens Reveal Shared and Bespoke Mechanisms of Resistance to SHP2"
"GSE212330","GPL24676","Homo sapiens",12,TRUE,3,3,"Azacitidine; Azacitidine + TAK-981; TAK-981",TRUE,FALSE,TRUE,"SUMOylation inhibitor TAK-981 (Subasumstat) synergizes with 5-azacitidine in preclinical m"
"GSE213976","GPL24676","Homo sapiens",12,TRUE,0,4,"BCL-2; combination; placebo; POLRMT",TRUE,TRUE,FALSE,"Reduced mitochondrial transcription sensitizes acute myeloid leukemia cells to BCL-2 inhib"
"GSE214158","GPL20301","Homo sapiens",12,TRUE,6,1,"DOT1L SGC0946",TRUE,TRUE,TRUE,"UTX Loss Alters Therapeutic Responses in KMT2A-rearranged Acute Myeloid Leukemia [RNA-seq]"
"GSE214275","GPL20301","Homo sapiens",12,TRUE,6,1,"DOT1L SGC0946",TRUE,TRUE,TRUE,"UTX Loss Alters Therapeutic Responses in KMT2A-rearranged Acute Myeloid Leukemia"
"GSE214361","GPL16686","Homo sapiens",25,FALSE,0,0,"",FALSE,FALSE,FALSE,"DUSP6 mediates resistance to JAK2 inhibition and drives leukemic progression"
"GSE217359","GPL28038","Homo sapiens",18,TRUE,9,1,"RMC-4550",TRUE,TRUE,TRUE,"Transcriptomic changes induced by allosteric inhibitor RMC-4550 in FLT3 and KIT mutant hum"
"GSE217537","GPL18573","Homo sapiens",120,TRUE,24,5,"abiraterone acetate; abiraterone acetate and onvansertib; enzalutamide; enzalutamide and onvansertib; onvansertib",TRUE,FALSE,TRUE,"PLK1 Inhibitors and Abiraterone Synergistically Disrupt Mitosis and Kill Cancer Cells of D"
"GSE217540","GPL24676","Homo sapiens",4,TRUE,2,1,"MZ1",TRUE,FALSE,TRUE,"Exploring the cytotoxic effects of MZ1 on multiple molecular   subtypes of B-cell acute ly"
"GSE217572","GPL18573","Homo sapiens",36,TRUE,18,3,"AZA; AZA+Spautin-1; Spautin-1",TRUE,FALSE,TRUE,"Study of the effects of AZA and its combination with autophagy inhibitor, spautin-1 on the"
"GSE217585","GPL24676","Homo sapiens",24,TRUE,6,3,"L-ascorbic acid; LAA + Olap; Olaparib",TRUE,FALSE,TRUE,"Oxidized 5-methylcytosine modulates synthetic lethality to poly-ADP-ribose polymerase inhi"
"GSE217587","GPL17021","Mus musculus",8,TRUE,0,3,"Tet2 knockdown, ASC; Tet2 knockdown, PBS; Tet2 restoration, PBS",TRUE,TRUE,FALSE,"Oxidized 5-methylcytosine modulates synthetic lethality to poly-ADP-ribose polymerase inhi"
